region,code
Республика Адыгея,1
Республика Алтай,4
Алтайский край,22
Амурская область,28
Архангельская область,29
Астраханская область,30
Город Байконур,94
Республика Башкортостан,2
Белгородская область,31
Брянская область,32
Республика Бурятия,3
Владимирская область,33
Волгоградская область,34
Вологодская область,35
Воронежская область,36
Республика Дагестан,5
Донецкая Народная Республика,80
Еврейская автономная область,79
Забайкальский край,75
Запорожская область,85
Ивановская область,37
Республика Ингушетия,6
Иркутская область,38
Кабардино-Балкарская Республика,7
Калининградская область,39
Республика Калмыкия,8
Калужская область,40
Камчатский край,41
Карачаево-Черкесская Республика,9
Республика Карелия,10
Кемеровская область,42
Кировская область,43
Республика Коми,11
Костромская область,44
Краснодарский край,23
Красноярский край,24
Республика Крым,82
Курганская область,45
Курская область,46
Ленинградская область,47
Липецкая область,48
Луганская Народная Республика,81
Магаданская область,49
Республика Марий Эл,12
Республика Мордовия,13
Город Москва,77
Московская область,50
Мурманская область,51
Ненецкий автономный округ,83
Нижегородская область,52
Новгородская область,53
Новосибирская область,54
Омская область,55
Оренбургская область,56
Орловская область,57
Пензенская область,58
Пермский край,59
Приморский край,25
Псковская область,60
Ростовская область,61
Рязанская область,62
Самарская область,63
Город Санкт-Петербург,78
Саратовская область,64
Республика Саха (Якутия),14
Сахалинская область,65
Свердловская область,66
Город Севастополь,92
Республика Северная Осетия — Алания,15
Смоленская область,67
Ставропольский край,26
Тамбовская область,68
Республика Татарстан,16
Тверская область,69
Томская область,70
Республика Тыва,17
Тульская область,71
Тюменская область,72
Удмуртская Республика,18
Ульяновская область,73
Хабаровский край,27
Республика Хакасия,19
Ханты-Мансийский автономный округ — Югра,86
Херсонская область,84
Челябинская область,74
Чеченская Республика,95
Чувашская Республика,21
Чукотский автономный округ,87
Ямало-Ненецкий автономный округ,89
Ярославская область,76
